displayed_subperiods,subperiod_length,rest_length,seconds_per_tick,display_average_a_graph,display_average_b_graph,display_average_ab_graph,display_payoff_matrix,display_score,num_subperiods,pi1(AGood),pi2(AGood),pi1(ABad),pi2(ABad),pi1(BGood),pi2(BGood),pi1(BBad),pi2(BBad),p1(AA),p2(AA),p1(AB),p2(AB),p1(BA),p2(BA),p1(BB),p2(BB)
10,6,2,0.5,TRUE,TRUE,FALSE,TRUE,TRUE,10,100,100,0,0,125,125,25,25,0.4,0.4,0.6,0.6,0.6,0.6,0.8,0.8
10,6,4,0.25,FALSE,FALSE,TRUE,TRUE,TRUE,10,100,100,0,0,125,125,25,25,0.4,0.4,0.6,0.6,0.6,0.6,0.8,0.8
10,4,4,0.5,FALSE,FALSE,TRUE,TRUE,TRUE,15,200,200,0,0,250,250,50,50,0.5,0.5,0.65,0.65,0.65,0.65,0.8,0.8
10,9,4,0.25,TRUE,TRUE,FALSE,TRUE,TRUE,10,100,100,0,0,125,125,25,25,0.4,0.4,0.6,0.6,0.6,0.6,0.8,0.8
10,4,4,0.5,TRUE,TRUE,FALSE,TRUE,TRUE,10,200,200,0,0,250,250,50,50,0.5,0.5,0.65,0.65,0.65,0.65,0.8,0.8
10,9,4,0.25,TRUE,TRUE,FALSE,TRUE,TRUE,10,200,200,0,0,250,250,50,50,0.4,0.4,0.6,0.6,0.6,0.6,0.8,0.8
10,6,4,0.25,FALSE,FALSE,TRUE,TRUE,TRUE,15,100,100,0,0,125,125,25,25,0.5,0.5,0.65,0.65,0.65,0.65,0.8,0.8
10,6,4,0.25,FALSE,FALSE,TRUE,TRUE,TRUE,15,100,100,0,0,125,125,25,25,0.5,0.5,0.65,0.65,0.65,0.65,0.8,0.8
10,4,4,0.5,TRUE,TRUE,FALSE,TRUE,TRUE,15,200,200,0,0,250,250,50,50,0.5,0.5,0.65,0.65,0.65,0.65,0.8,0.8
10,6,2,0.25,TRUE,TRUE,FALSE,TRUE,TRUE,10,100,100,0,0,125,125,25,25,0.5,0.5,0.65,0.65,0.65,0.65,0.8,0.8
